Ulasan_preprocessing
"['untung', 'transfer', 'gratis', 'tarik', 'tunai', 'gratis', 'bayar', 'pulsa', 'listrik', 'dan lain lain', 'gratis', 'biaya', 'admin', 'meski', 'promo', 'kurang', 'tarik', 'dari', 'bang', 'lain', 'overall', 'mobilitas', 'lumayan', 'nguntungin']"
"['line', 'bank', 'aku', 'isi', 'pulsa', 'pulsa', 'ku', 'masuk', 'saldo', 'rekening', 'ku', 'sudah', 'potong', 'dari', 'semalem', 'ngisi', 'pulsa', 'masuk', 'pulsa', 'aku', 'kira', 'ganggu', 'masak', 'dari', 'malam', 'pulsa', 'ku', 'masuk', 'saldo', 'rekening', 'ku', 'sudah', 'kurang']"
['iklan']
"['aku', 'coba']"
"['lebih', 'sering', 'sistem', 'dalam', 'pelihara', 'jadi', 'kadang', 'kalo', 'mau', 'transfer', 'tengah', 'malam', 'suka', 'enggak bisa']"
"['apknya', 'bagus', 'banget']"
['bagus']
"['free', 'transfer', 'bank', 'lainmantapp']"
"['pinjam', 'tidak', 'acc']"
"['sangat', 'bantu', 'transaksi', 'lebih', 'hemat']"
"['cuma', 'ngambil', 'data', 'ajadi', 'acc', 'ngaawas', 'kalau', 'salah', 'guna', 'hariakan', 'saya', 'proses', 'sesuai', 'jalur', 'hukumkarna', 'saya', 'tidak', 'rasa', 'meminjamapk', 'tidak', 'jelas']"
"['bikin', 'hp', 'lag', 'tidak', 'ada', 'baik']"
"['denda', 'tidak', 'tahan', 'salah', 'byr', 'kurang', 'rupiah', 'suruh', 'bayat', 'denda', 'ribu', 'moga', 'barokah', 'trmksh', 'atas', 'bntuannya']"
"['sulit', 'erti', 'sulit', 'informasi', 'kendala', 'sangat', 'jelek', 'layan', 'saya', 'ada', 'kendala', 'tidak', 'ada', 'jawab', 'yang', 'cocok']"
"['terima', 'kasih']"
"['terlalu', 'sering', 'update', 'apknya', 'ngabisin', 'simpan', 'banget']"
['yuhui']
"['dari', 'tidak', 'dibenerin', 'daftar', 'pakai', 'nomor', 'tri', 'digit', 'saja', 'gamasukmasuk', 'otpnya', 'dikit', 'update', 'aplikasi']"
"['saya', 'tidak', 'dapat', 'unduh', 'bank', 'hana', 'hp', 'samsung', 'a', 'mohon', 'bantuanya']"
"['bagus', 'bagus']"
"['tolong', 'baik', 'aplikasi', 'nya', 'tidak', 'dapat', 'screenshoot', 'penting', 'banget', 'loh', 'takut', 'ada', 'jadi', 'yang', 'harus', 'ss', 'bukti', 'jangan', 'minta', 'update', 'hp', 'yang', 'memori', 'nya', 'penuh', 'seperti', 'aku', 'sulit', 'banget', 'buat', 'update', 'nya']"
"['barusan', 'mau', 'daftar', 'nyata', 'harus', 'bank', 'cabang', 'selesai', 'buat', 'rekening', 'nya', 'jadi', 'saya', 'cancel', 'karena', 'tidak', 'bank', 'hana', 'kota', 'saya', 'jadi', 'data', 'saya', 'yang', 'simpan', 'mohon', 'tidak', 'disalahgunakan']"
"['kartu', 'line', 'bank', 'saya', 'tidak', 'datangdatang', 'sudah', 'bulan', 'dapat', 'aktif']"
"['bagus', 'deh']"
"['mulai', 'ada', 'perubahanpenampilan', 'sedikit', 'menarikkecepatan', 'mulai', 'okpaket', 'data', 'adaqris', 'sempurna', 'harus', 'ada', 'qris', 'bercde', 'karena', 'tidak', 'semua', 'merchn', 'samaterus', 'tingkat', 'cepat', 'biar', 'mumpuni', 'bljrlh', 'dari', 'bank', 'baca', 'tentang', 'fitur', 'qrisbikin', 'tanda', 'bukti', 'dari', 'transaksi', 'jangan', 'sampai', 'salah', 'paham', 'beli', 'penjualpromo', 'okkartu', 'debit', 'cantikselanjutny', 'serah', 'anda']"
"['kalo', 'niat', 'download', 'aju', 'pinjam', 'bagi', 'yang', 'wiraswasta', 'mandiri', 'percuma', 'tidak', 'dapat', 'pinjam', 'ngabis', 'memori', 'hp', 'saja', 'auto', 'hapus', 'saja', 'kalo', 'karyawanpekerja', 'yang', 'punya', 'slip', 'gaji', 'besar', 'kemukinan', 'besar', 'dapat', 'pinjam']"
"['saya', 'aju', 'kata', 'sulit', 'sekali', 'ya', 'alas', 'kriteria', 'menenuhi', 'syarat', 'aaya', 'transaksi', 'sering', 'apa', 'hanya', 'laku', 'wilaya', 'tentu', 'saja']"
"['buka', 'rekening', 'saja', 'mesti', 'vc', 'buat', 'konfirmasinggak', 'buat', 'semua', 'orang', 'sih', 'bank', 'langsung', 'uninstal']"
"['sistem', 'pinjam', 'yang', 'jelek']"
"['menang', 'gratia', 'transfer', 'doang']"
['uninstall']
"['aku', 'doang', 'apa', 'sistem', 'nya', 'sih', 'lama', 'iniaman', 'aman', 'saja', 'sih', 'aku', 'pakai', 'line', 'bank', 'cashbacknya', 'lumayan', 'bnged']"
"['deteksi', 'hidup', 'saja', 'susah', 'minta', 'ampun']"
"['pakai', 'bank', 'hana', 'cukup', 'puas', 'cuma', 'aju', 'kata', 'dotolak']"
['bagus']
"['sudah', 'tidak', 'ada', 'limit']"
"['aplikasi', 'sering', 'ganggu', 'tidak', 'dapat', 'buka']"
['bagus']
"['aplikasi', 'hang', 'buka', 'tolong', 'baik', 'sistem']"
"['bank', 'tipu', 'ambil', 'tanggal', 'tanggal', 'jadi', 'cicil', 'bilang', 'jadi', 'cicil', 'sudah', 'bunga', 'tinggi', 'banget', 'gila', 'masak', 'ambil', 'juta', 'bayar', 'kali', 'sampai', 'juta', 'sadis', 'bank', 'hanya', 'peras', 'saja', 'tidak', 'untung', 'nasabah', 'ambil', 'quick', 'kredit', 'itu', 'arti', 'anda', 'masuk', 'dalam', 'jebak', 'batman']"
"['aplikasi', 'jelek', 'habis', 'update', 'enggak bisa', 'transaksi', 'ewallet']"
"['makin', 'sulit', 'bos', 'ku', 'login', 'suruh', 'verifikasi']"
"['manfaat', 'aman']"
"['gratis', 'ambil', 'duit', 'saja', 'sangad', 'bantu', 'tidak', 'sulit', 'antri', 'atmtp', 'jangan', 'coba', 'cek', 'saldo', 'kalo', 'cek', 'saldo', 'kena', 'biaya', 'admin', 'jadi', 'langsung', 'ambil', 'tunai', 'saja', 'kalo', 'ambil', 'tunai', 'enggak ada', 'potong', 'bagus']"
"['sms', 'tidak', 'munculuncul']"
"['halo', 'kak', 'kirim', 'kode', 'otp', 'tidak', 'muncul', 'ya', 'kak']"
"['moga', 'jadi', 'vendor', 'aplikasi', 'pinjol', 'cepat', 'murah riah', 'sahabat', 'n', 'lebih', 'maju', 'kembang', 'lagi', 'sgini', 'ratingnya']"
"['apa', 'data', 'ktp', 'sudah', 'cocok', 'email', 'sudah', 'cocok', 'sandi', 'sudah', 'cocok', 'saja', 'data', 'tidak', 'valid', 'mau', 'scan', 'ulang', 'ktp', 'bilang', 'suruh', 'tunggu', 'besok', 'cuman', 'mau', 'pindah', 'perangkat', 'lain', 'tolong', 'dibenerin', 'buat', 'yang', 'butuh', 'cepat', 'sulit', 'hambat']"
